0.topic, 1.topic, 2.topic, 3.topic, 4.topic, 5.topic, 6.topic, 7.topic, 8.topic, 9.topic, 10.topic, 11.topic, 12.topic, 13.topic, 14.topic, class
0.017,0.058,0.007,0.009000000000000001,0.003,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.032,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.021,0.07400000000000001,0.007,0.002,0,0,0.001,0.008,0.014,0,0.004,0.009,0.005,0,0.005,kizgin
0.008,0.01,0.001,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.014,0.007,0.001,0,0.001,0,0,0,0.008,0,0,0.098,0.023,0.001,0,kizgin
0.003,0,0.002,0.081,0,0,0.002,0.003,0,0,0.001,0.006,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0.002,0,0,0,0.004,0.009,0.006,0.001,0,kizgin
0.008,0.01,0,0.029,0.024,0.002,0.012,0.087,0.001,0.001,0.002,0.001,0,0.002,0,kizgin
0,0.004,0.026,0.013,0,0,0.002,0,0,0.004,0,0,0,0,0,kizgin
0.035,0.037000000000000005,0.017,0.006,0,0.013999999999999999,0,0,0.002,0,0,0.20500000000000002,0.052,0.003,0,kizgin
0.014,0.004,0.001,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.014,0.005,0,0,0.01,0.007,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.02,0.004,0.003,0.081,0,0.01,0.097,0.003,0.004,0,0.001,0.10400000000000001,0.028999999999999998,0.001,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.02,0.004,0,0,0,0.02,0.19,0,0.007,0,0,0.098,0.035,0.001,0,kizgin
0.020999999999999998,0.058,0.009000000000000001,0.14300000000000002,0,0.003,0.004,0.011,0.01,0,0.006,0.015,0.005,0,0.005,kizgin
0.016,0.060000000000000005,0.007,0.002,0,0,0.001,0.012,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0,0,0,0,0.001,0,0.004,0,0,0,0.001,0.007,0.099,0,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.007,0.029,0.012,0.006,0,0.028,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0.015,0.004,0,0,0.003,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.017,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.019,0.005,0,0.005,kizgin
0.011,0.030000000000000002,0.013000000000000001,0.013,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.007,0.030000000000000002,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.004,0.021,0.009000000000000001,0.011,0,0.006,0.014,0.005,0,0,0,0.007,0.02,0,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.03,0.062,0.007,0.002,0,0,0.001,0.008,0.011,0,0.004,0.107,0.028,0.001,0.005,kizgin
0.022000000000000002,0.07200000000000001,0.007,0.009000000000000001,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.032,kizgin
0,0.02,0.003,0,0,0.003,0.014,0.005,0,0,0,0.007,0.02,0,0,kizgin
