türkiye-0.03234550090899475 basketbol-0.029369041647256483 yatýrým-0.02691961615580462 lig-0.025418599750199136 saha-0.024760444166042783 yüzde-0.02271133236260132 avrupa-0.02158786986849879 yakala-0.021054437993166177 dýþ-0.01986923124011671 banka-0.018092523846087005 maðlup-0.017304978070966367 kiþi-0.017079984894919326 konuk-0.014660700511759205 galatasaray-0.01438958258769129 büyü-0.013742330632755246 ayýn-0.01286041501244878 hisse-0.011715363170256371 özel-0.011444025024000031 yen-0.01133718982727585 ceza-0.011101062536848939 otomobil-0.010375092407396471 þirket-0.01022168489769374 bölge-0.010084498336382626 merkez-0.009427628893629398 para-0.009076342096900251 konu-0.00886790352097479 ankara-0.00870418666765321 sat-0.008687333462291086 halka-0.007765102539607688 temsil-0.0072389965184716685 yaklaþýk-0.0071331210132472775 süper-0.007037423008727305 program-0.006773520350605811 yan-0.006712081121208992 üst-0.006708931583137671 ekip-0.006653666809527833 arz-0.006593284668801074 þampiyon-0.00642926315425339 çarp-0.006194916475213041 yara-0.0058909967065026315 sporcu-0.005793217397090845 kontrol-0.005627872937515558 hýrsýz-0.005600880463122484 almanya-0.005574868509258305 yenile-0.005550325061095009 kurum-0.005549101090190037 holding-0.005419803070724805 istihdam-0.005250268860513979 doð-0.004919782682419857 amerikan-0.004797630726669447 
lig-0.08519611702477281 süper-0.04678136284351317 maç-0.039301871973405574 hafta-0.03502148770038443 takým-0.03242312205971139 dünya-0.02084224898148293 ölü-0.0203360649824118 kupa-0.019052382439798943 beþiktaþ-0.01565641722426132 þampiyon-0.015271343813982076 sezon-0.014267384774728015 hazýrlýk-0.011809749432966681 sözleþ-0.011283085486215682 uzat-0.011171101620132153 þampiyona-0.010361144716428022 izmir-0.010282930616100396 spor-0.009801529217412706 mücadele-0.009661231388609663 dev-0.009538395344908676 ilçe-0.009513810045654568 grup-0.009342287704398499 lider-0.00871928876568298 ekip-0.008658927834137433 evin-0.007594589969298741 yarýþ-0.007549570108288125 aracý-0.006898669432618397 balýk-0.006845774728042916 toto-0.006616357008345227 kiþi-0.006604974195242404 yen-0.006427207687001693 ilgi-0.0060199673173137345 teklif-0.00600699727997952 alacak-0.005799234938612579 oyna-0.005584141796514049 aðýrla-0.005212604301454571 yaþ-0.0052088199902037705 futbol-0.004951135253704721 tartýþma-0.00491312617264984 deprem-0.004896968567356077 italya-0.004698441329714908 taraftar-0.004633257321252168 ceset-0.004610559400004235 iddia-0.00447004047849069 sermaye-0.004430296767163599 art-0.0043866634117127054 iþçi-0.004344771185154549 türkiye-0.004262521717259125 sektör-0.004178534205418743 yorum-0.004149186810759935 baþkan-0.0041254695152253 
yüzde-0.04650247558054159 yýl-0.04566750402647194 borsa-0.043371966944922596 düþ-0.03454371004711456 faiz-0.03077099714789645 banka-0.026952337304992312 kredi-0.02469921753054747 oyun-0.024240612508456976 istanbul-0.019230737890582994 avrupa-0.018826535110192857 hafta-0.017906265695851707 zirve-0.016557680713856313 artýr-0.014522816125754807 þüphe-0.014004679748297721 kupa-0.0133363676864366 para-0.013206884761071942 not-0.012963876039772436 anadolu-0.012541793256094723 kazan-0.011211109884944446 yeni-0.010745244676592852 puan-0.009311852902447416 oran-0.009290704850561418 deðer-0.009208541076739145 yüksel-0.009051389332240128 ton-0.008593110150899242 aylýk-0.008432738206655332 geçen-0.008314046803471498 futbol-0.007560872459790774 tarihi-0.007556758469069141 amerikan-0.006809391694052538 basketbol-0.006793223083604663 baþkan-0.006593689541371426 italya-0.006469790115110473 sýnýr-0.006106170038124547 geri-0.00574016726509586 thy-0.005692095078567779 ayýn-0.005690795436779212 kart-0.005599046913337005 toplam-0.005466623221293788 dünya-0.005399768633041195 müthiþ-0.005367351276484604 günü-0.005296438986953247 baþarý-0.005253130669814251 gündem-0.005175878931663344 elde-0.0049800675480312735 gelecek-0.004840002274914531 göçmen-0.0046404220042239215 merkez-0.004599358039475406 üye-0.004521405110968115 hak-0.004469430029618493 
kiþi-0.08441779621612201 kaybet-0.0405882765285648 hayat-0.03886342273379113 yarala-0.03199152045286246 ilçe-0.030197880416256834 polis-0.03006257164701009 kaza-0.02706535232118276 meydan-0.020258806378483558 þehit-0.019890847432634952 otomobil-0.019292998552546927 dönem-0.019282441273847994 operasyon-0.016748753569708424 yaþ-0.015164637604156204 trafik-0.013909437280639286 düþ-0.013659309524613448 dolar-0.013651225617401183 yüksel-0.012570087119584954 gram-0.010848540829657558 altýn-0.010773987318352801 hollanda-0.010269832699433375 terörist-0.009659333274935024 gözaltý-0.008837937407460028 ihracat-0.007739767943704921 patla-0.0076284511372316345 sürücü-0.007476861093389021 çarpýþ-0.0073949765268194355 kavga-0.006772843216805609 þekil-0.006323027598969836 kent-0.006267679519948073 dýþ-0.0061414653797977805 artýr-0.00606915922104139 yönelik-0.005930788480213328 terör-0.005806691237000661 zanlý-0.0056057991735585415 faiz-0.0055365956569366674 antalya-0.0053624683836985725 örgüt-0.005314217726757936 uçak-0.005031869891518691 suriye-0.00501776223889788 ingiltere-0.005003285748382117 saldýrý-0.005001529075413717 hazýrlýk-0.004907507571165558 uyuþtur-0.004808498151544775 cari-0.004670801696968542 ölü-0.004596781539622081 bað-0.004532807891056666 çarp-0.004247860205776279 hak-0.00417633850509438 çatýþ-0.004145169980234466 dað-0.004137199049427676 
baþ-0.02456241167222906 borsa-0.02095078464268169 istanbul-0.015185651347695651 borç-0.01444597448073662 gelir-0.012977759170054271 cinayet-0.012876958517361353 arkadaþ-0.01194777501467302 indir-0.011534758224590689 öðrenci-0.0111480782226905 futbol-0.010846858587223934 takým-0.010448537580589678 petrol-0.010396357667565104 ülke-0.009936107409603767 öldür-0.009864124480065621 marka-0.009764878401605698 teknik-0.009502838962124612 iþlem-0.009322307907640597 orta-0.009299708367341298 üniversite-0.009115985594353098 alýþ-0.00901272586285976 hak-0.008860088751974787 baþkan-0.008794071528575496 vade-0.008468941936570955 direktör-0.008461406778854916 türkiye-0.008408525412127938 destek-0.00811637859304528 yeni-0.007433766441912261 yardým-0.007193207824759863 basýn-0.007119529746017918 býçakla-0.007103621976497362 dolar-0.006995766466449035 yönetim-0.006915901620484701 sezon-0.006846251070331767 dakika-0.00678644063982065 kurul-0.006690076189026092 yaþ-0.006638789611444334 kulüp-0.006504431708671716 rusya-0.006370215962845782 hisse-0.0063335577362178 asya-0.006317773355009788 yangýn-0.006250123729697657 göz-0.005871579271972548 taraftar-0.005644050884253945 fatih-0.005445586934441409 profesyonel-0.005344764887582188 imza-0.005342413219577047 beyin-0.005321351443393426 teknoloji-0.005314610647951081 mali-0.005306880113240048 federasyon-0.005287069848572679 
futbol-0.0478977879736889 ele-0.03521551214891478 mücadele-0.030414561492950694 operasyon-0.0297472630473414 genç-0.02763364164109197 ekip-0.02278119703128603 yakala-0.019090484087598565 öldür-0.018846063807588548 takým-0.018542286603985454 ölü-0.017892053808144414 yaþ-0.016178468958484245 uyuþtur-0.015886955793841633 çocuk-0.01222734506624652 kaçak-0.012016612763059122 süre-0.011379759125109325 dünya-0.011223525915609371 müdür-0.010715442879990227 hayat-0.010251857680265196 türkiye-0.009716875973443548 avrupa-0.00961262527705591 devre-0.00946227222662844 kaybet-0.008824188285650398 emniyet-0.008781742731707266 bebek-0.00859918768471465 sigara-0.008259176622349719 federasyon-0.00796745084553878 ilgi-0.007811635650497931 sokak-0.0070793695594525245 genel-0.006978547622668385 aday-0.006959323868561215 baba-0.006910483573022362 can-0.0068847773731645105 gözaltý-0.0067951430715796745 direktör-0.006332767135468371 özel-0.0062737037421423175 sahip-0.006245706969807104 tahmini-0.005893962093284303 paket-0.005884699374433075 satýcý-0.00586084455171151 ölüm-0.005704986207849623 birlik-0.005492305537882581 orta-0.005481984405529179 býçakla-0.00541846605251912 þube-0.005392738745167774 sakat-0.0053709029125670145 fatih-0.005251904535240949 güneþ-0.005208703641531407 baþkent-0.00499464972752406 þampiyona-0.004962698680510919 büyü-0.0049607438046146935 
abd-0.03787168229666586 öldür-0.029082169659520627 art-0.025802998936318784 türk-0.02346235387218784 þirket-0.02341100998741397 takým-0.020421661349558463 asker-0.019967882769230852 kalan-0.01333274583240929 endeks-0.013061791086821468 geri-0.01287033312696845 yaþ-0.012340064818535154 kar-0.01223974001694854 sakat-0.012054394153263995 yeni-0.0119584920080883 stok-0.01126427048623104 petrol-0.009839657280815069 ekonomi-0.009575428040530432 yen-0.009018005271696732 þehit-0.008551256380374172 öde-0.0075539745709654335 seri-0.0075075604688637975 iliþkin-0.007474216348529087 hafta-0.00739895277290286 güneþ-0.007374192470876877 dünya-0.007024347217863755 kaybet-0.00682682685768732 hava-0.006759482072257278 küresel-0.006747794745346963 anne-0.006638172680583795 plan-0.006505681068265605 servis-0.0063490708463463455 araç-0.0062533623036043415 çarp-0.006238236341447932 intihar-0.006150465487189679 net-0.005890361206605325 voleybol-0.005797414106981268 kale-0.0057727096880461895 veri-0.005738357786375663 üretim-0.005555367689155678 sanayi-0.005480903127886998 geçen-0.005458452894200888 medya-0.00526360190614763 rakip-0.005260756761549703 ülke-0.00524085572871935 sosyal-0.005235472799022168 kupa-0.005163068190952874 risk-0.005059432747516304 uzman-0.005036498104611806 çavuþ-0.005011359440353531 hakkari-0.004992018701661116 
maç-0.06602468684923234 galatasaray-0.049330034458925615 oyna-0.03181890550562477 art-0.03044026578867923 takým-0.026410880886817593 transfer-0.024682604068091002 puan-0.0242317007674231 yüksel-0.0240106472124652 lig-0.023102657542753723 yüzde-0.021804505213909694 forma-0.02105051695570127 grup-0.0187517162670003 endeks-0.018567118206421953 kadro-0.017730472053744874 saha-0.016288561658466583 deplasman-0.015904390780246573 yara-0.015645880607415785 oyun-0.015022724444912086 giy-0.013606375411520714 kazan-0.013155347957132801 günü-0.013062924888606537 beþiktaþ-0.011660571265697953 deðer-0.01122960316498829 beraber-0.010466588173301261 sakatla-0.008858732486333051 can-0.008466962306501543 yarý-0.007780816729982928 italyan-0.007194646785512121 uefa-0.006918667548497846 avrupa-0.006902965296346063 kiþi-0.0064627508002062595 emre-0.006410364187468332 arda-0.00637278540401317 belediye-0.00601947663825437 yen-0.006012637165315874 kaza-0.005945617868166114 sezon-0.005676897612265363 ölü-0.005492017568449322 atla-0.005461267553536984 þans-0.005149819669778937 beklenti-0.005107507554188184 bonservis-0.005050411863640168 fiyat-0.004847027132954035 yönetim-0.004747399810676581 balýkesir-0.0045668061329447165 baz-0.004458130801417123 gol-0.0044299501378977195 haber-0.0043779181924442235 ten-0.004248035951471566 öðrenci-0.003989686001031277 
operasyon-0.04220256065182868 piyasa-0.0411973744861306 kiþi-0.038440642652514206 gözaltý-0.029272033729579615 silah-0.023581550306561446 yönelik-0.02201955533591435 ekip-0.02064077641132253 yabancý-0.02049926646069721 ilçe-0.018985576686707195 istanbul-0.017679563912061876 sözleþ-0.016750009455148325 saat-0.01651738041878313 merkez-0.015948508103214357 terör-0.015196091973100796 satýþ-0.01447943518715624 tutukla-0.013998474636818543 beklenti-0.013847584296688349 oyun-0.013529395826339346 banka-0.012979571916543984 iddia-0.01282507299810399 örgüt-0.012233144048940848 veri-0.012005560184382614 imzala-0.011989441587381085 ayýn-0.011149166854476068 kayýp-0.01107385507291922 saldýrý-0.01071038004891671 eksi-0.009811295926024569 ceset-0.009565486380213371 terörist-0.009242024705858982 çanakkale-0.00909468770529274 yýl-0.008549603652726213 uyruk-0.008504570002835015 kulüp-0.008326384513092474 anlaþma-0.008214521101879953 içki-0.007736771535672321 þüphe-0.0073245411127152585 hava-0.0069482280587204156 müdür-0.00648862005166353 kadýn-0.0062965007904353795 emniyet-0.006048433755681405 anket-0.00548227978732171 boðaz-0.005465447605650234 perakende-0.005177459014434647 üretim-0.005129113470376499 küresel-0.00510752961039798 yunanistan-0.005102051507377901 top-0.004997052129506596 türk-0.004672405171101652 sevk-0.004626349570020225 dahil-0.004428640783154542 
dolar-0.0642097795196781 hafta-0.057292616787114614 lira-0.04500801065319002 yýldýz-0.02658441370146741 iþlem-0.026164500083742593 günü-0.020131995554371795 çeyrek-0.01922283837500429 petrol-0.01911318062524997 art-0.018833516219682316 seyir-0.01823491452596491 borsa-0.018131421168183014 türkiye-0.017510738342666025 gol-0.017456875001051676 varil-0.017186985447331292 izle-0.01686853402596206 abd-0.01489658461785592 fiyat-0.011972918033806474 veri-0.011809434334613492 banka-0.011081424411314019 þirket-0.010367149532994103 enflasyon-0.009650351899758079 seviye-0.009631453484255783 piyasa-0.009076237156789343 düþ-0.008816248728517438 ünlü-0.008800936587072908 bütçe-0.008544466649241038 rekor-0.0084338464304412 merkez-0.008065197990939866 yeni-0.008021933135047005 antrenman-0.007832216629733487 avrupa-0.00762517961793387 satýþ-0.0072793717504199915 net-0.006907548647803269 asya-0.0068072649748836984 evin-0.006548288201458595 düþük-0.006377099301080125 ayý-0.00637567337464964 pepe-0.0063739815592365875 finansal-0.006105756856279696 saha-0.0060434818436078865 hisse-0.006010225929937464 galatasaray-0.0057306582647768615 yen-0.005675627226937677 maç-0.005612421706592205 birlik-0.005390852786037835 arabistan-0.005314305690407916 suudi-0.0053143037212734535 devlet-0.005249886554048942 thy-0.00507014369306615 durum-0.004630516801366926 
teknik-0.030955370274835393 direktör-0.026429308340908828 tenis-0.02642907204714708 final-0.02589163728378715 kadýn-0.025675609595602257 dünya-0.020897530059462186 sezon-0.019170666806358858 maðlup-0.01888618690972367 beþiktaþ-0.018485412698163124 baþkan-0.016455335423323995 lig-0.01624515602855931 þampiyon-0.014507529003676406 kiþi-0.013151672703658732 tur-0.012557830213311335 yen-0.012483353282142938 hakem-0.012382347657424238 görev-0.01160451988339868 gol-0.011447452444532462 turnuva-0.011266719236946554 otobüs-0.01119021080004523 yasa-0.010535576345546768 hastane-0.010301308634059965 isviçre-0.009624080740077996 intihar-0.008809683209504328 tartýþ-0.008486556415883828 grup-0.007963566445722083 porto-0.007907433027086333 yarala-0.0076408498684892405 kaybet-0.007336390276485844 gelecek-0.006990657810647401 brezilyalý-0.006723875571890801 kaçak-0.006669300594791939 önem-0.006657288840767525 dýþ-0.006617418934830209 aykut-0.00659781771632363 yurt-0.006093687141374994 kulüp-0.006007970341968251 bursa-0.005992726283256685 birlik-0.005629885136115683 takým-0.00556737211054681 öðretmen-0.005545897618434867 hayat-0.005394033653508882 özbek-0.005366560068160558 dursun-0.005364356902273621 galatasaray-0.005314895469409454 sahil-0.005307912284399792 flaþ-0.005233261357795297 devir-0.005217149887470074 facia-0.005174702379106133 belçika-0.005141204082800757 
