nefret-0.17058745596359182 korkunç-0.12243301268893415 kop-0.08073504478924351 öfke-0.054893809582129 korku-0.03934366403768482 film-0.0382761695968262 sev-0.03744916323896933 tatlý-0.031244626963236575 sahne-0.013295853343463402 nefes-0.012667802282880468 sakin-0.012017085417515993 kapalý-0.012013222157175247 kanal-0.01150774241513859 yeter-0.009918143122614596 köpür-0.009613859069968391 bebek-0.009611873283754454 intihar-0.009564690397566878 yalan-0.008647210542109174 kan-0.007962791206632982 leþ-0.007210396666164637 kahret-0.00717625136920803 iyi-0.007030484002538808 bilim-0.007009498118909792 dal-0.0061313294763894076 hain-0.0059975192238897424 had-0.005549012617749258 düþman-0.005157314290056225 dað-0.004978967299629704 salýn-0.004857352517902901 bakým-0.00480694308193716 siyaset-0.00480694308193716 uslu-0.004806942974714382 kürdan-0.004805406809493697 þerit-0.00478393479035858 uyanýk-0.004713516914251845 anide-0.004708195533904499 kazan-0.00451879557123129 ilginç-0.004455314652600259 harbi-0.00437577432743331 zor-0.0038570825154862535 aðrý-0.003695682691753889 çalma-0.0034647706240082603 fragman-0.0032775641257029834 savaþ-0.003160291912214157 hoþ-0.003039290700439171 benzer-0.0030352670048791196 gergin-0.002715012605127458 gez-0.002557181975238213 tekerlek-0.0024928125201960686 açma-0.002437114679189749 
sinir-0.22336856576234407 sinirlen-0.10689804008267027 agresif-0.09233635829130278 sinirli-0.06741200388601333 küp-0.054610235268128964 boz-0.052237627238587075 düþ-0.020410886240461973 titre-0.012616803515262323 elim-0.01028196595601598 sinirle-0.008399515415022294 merak-0.008384140428304501 hastalýk-0.008244763769478105 bela-0.0068271485016441836 gurur-0.006804997910578605 enerji-0.006301224157591871 sik-0.006301044210858644 özle-0.0063010276571761805 huy-0.006289361996801044 beyinsiz-0.006288281543852285 otel-0.0062523663061380685 kýskan-0.0061629872378916 adým-0.006027374096918419 çarpýl-0.005502202415273224 fotoðraf-0.005297182751481006 lanet-0.004889241095062934 düþür-0.004393496766620966 dans-0.004350486058430835 bat-0.004330096919873112 hareket-0.004270786266207553 domuz-0.00420095884365024 toprak-0.004200958843251509 kompleks-0.004200958783006328 olmadýk-0.0042009584529053715 belediye-0.004200958324236773 yatýrým-0.004200956951538536 küfret-0.004200955045527883 kalite-0.004200924258962615 sendrom-0.00420079254447813 soður-0.004199935785541359 üþü-0.004199230715188568 zevk-0.004198051837005827 sunum-0.004172130776225096 ayla-0.0039249730614403025 kana-0.003826855047582101 mesela-0.0035482964422775295 nefes-0.0032902183192848435 ýþýk-0.0032346825199032598 ego-0.0032142084999319254 ünlü-0.0030328913491033957 final-0.002811510822175908 
irkil-0.13588977420236756 endiþelen-0.08949055132136308 endiþe-0.07402175025785439 bela-0.033323778937525625 eðlen-0.032414630394646884 hadi-0.02015691187480101 bayýl-0.019996538949213365 sevinç-0.014564660739810246 çarp-0.011565951201769488 utan-0.011232036494935331 yaþa-0.01101801247163077 rezil-0.011006037622992038 plan-0.010262131103816179 ürküt-0.009542282697695519 güzel-0.009523965983462524 banka-0.008675054048474578 saçmala-0.008669777573006543 keyfi-0.008668357553487223 forma-0.008657736100017922 yapýþ-0.008635450754099452 yýlla-0.007710462798699636 inþallah-0.007534609901318827 iyi-0.007361280948025344 klip-0.006592198794549802 matematik-0.006176922310339629 baþka-0.005989342150064983 güneþ-0.005880274731592328 derin-0.005789859674362262 kura-0.00578610992206241 yalnýz-0.0057860755726931185 beter-0.005783376682892403 dalgýn-0.005783376682702202 deðiþik-0.005783375682260377 hazýrlýk-0.005782943050864967 nükleer-0.0057822780134101845 satýr-0.005781558363947623 moral-0.005776143885131664 kaos-0.005775382251126149 beyinli-0.005732271555592738 program-0.005672512934585901 bura-0.005599215529736093 gezi-0.005595116694512363 mantýk-0.005153032463177381 adeta-0.005038088125469656 hafta-0.004252785226947807 düþ-0.00425269896567042 anide-0.004187710065784336 hata-0.0038985389160695787 dað-0.0033875132944688005 meydan-0.003105932993440941 
gül-0.13982908609597638 delir-0.06266320145614233 kafa-0.05292066153287587 sevinç-0.045599089866312115 þarký-0.038910096854866814 gerizeka-0.03416049795837002 mal-0.029721796180718525 yiyecek-0.0276570549446499 cidden-0.023130401309870742 paylaþ-0.020060082222851775 fotoðraf-0.019499795938774052 alýþ-0.01852912793200993 sinirli-0.017245810302303488 güzel-0.01647305647709926 acayip-0.015466088074901614 iyi-0.01283378004224991 yemin-0.009579159305685096 laf-0.008978667890551269 komik-0.00890742151960957 mesela-0.008356214677427325 can-0.008185878424356016 çal-0.007556311412089149 zeka-0.007412035241645401 atla-0.007310895382343404 doð-0.007162281066661269 dans-0.006808235205590175 sus-0.00667806794847371 kutla-0.006611590764022363 süper-0.0062840275384090025 yastýk-0.006064054975861518 dayak-0.005722653155389054 alem-0.005710702118754574 bayram-0.0055987412209808725 resmen-0.005064017277866144 neþe-0.004784454510651178 sezon-0.004666750129174446 egemen-0.004660760012693784 ulu-0.004660671334706459 sorgula-0.004660604627732424 denklem-0.004531830315981313 saye-0.004376829124386911 lütfen-0.004366525438174686 kriz-0.004201975364543574 gez-0.004058561022388757 dýþarý-0.0038732128980364503 tipi-0.003781383073407278 gizem-0.0033757782061944125 þampiyon-0.003131343679618481 dedikodu-0.002854341631771275 terlik-0.0026811211426615964 
korkut-0.06379780043028459 sevin-0.055292516680614405 sinirli-0.02846314708542726 duygu-0.026787276419573583 mükemmel-0.024587449178601128 beyin-0.02184437095652134 hayal-0.019788796948451412 kavga-0.018613257599540224 fena-0.01850990666800515 hatýrla-0.0178011518925214 küfür-0.01526928198823609 ciddi-0.015113476291521362 pislik-0.014423454634102802 aðrý-0.013769370332324313 soðu-0.01290500723147111 çök-0.012788706377972612 kilo-0.012522380728909861 yazýk-0.012511035673591927 beyinsiz-0.012434808438822127 huzur-0.01239848870277271 güç-0.011615937946853578 stres-0.011564921032290733 gerizeka-0.010971085664840848 kulak-0.01035326101141772 feci-0.009387696279751981 radyo-0.009374063692490608 samimi-0.009360940697487082 kaybet-0.009353977375433715 genel-0.009280050325737187 sahip-0.009104584336241964 karýn-0.009034348867455947 hah-0.008285382072998863 müzik-0.008274655255160236 komple-0.008219427801485574 çarþý-0.0076436952662152875 ruh-0.007291031641179149 futbol-0.0070426145682508864 bura-0.006857892138947243 nezaket-0.006261190371899253 öðün-0.006261063404175609 müze-0.006260771777479834 karþýlýk-0.006259940039662588 götün-0.006258587229398818 geber-0.006242364462968565 uçuk-0.006239410294231059 kaþar-0.006236335335257858 baðým-0.006118518249393493 saniye-0.006014595755682416 oyun-0.005862701532288693 dini-0.005846761225995841 
sev-0.14720564583595586 kafa-0.0807927087476578 yiyecek-0.06416674760438093 sevgi-0.05133353994934186 heyecan-0.04183974207008123 fobi-0.03136146483473162 yara-0.02602545207429151 galiba-0.025721134811852866 iyi-0.025651382291834952 ölü-0.024611353105901748 aþk-0.024599286429154123 facia-0.021294545607608392 endiþelen-0.021159463814448377 tatil-0.01399701554592842 güven-0.011311437112616132 mutlu-0.010812383368662571 dýþarý-0.010210762588507045 can-0.009519079606357048 halý-0.009468503360283974 staj-0.009463174670175633 nazar-0.007095023538482953 ele-0.005197177040172999 ilaç-0.005171053804773122 bez-0.004732157228599465 mevsim-0.004732157212579292 karýþýk-0.004732156040277727 eyvallah-0.004732048375022619 zam-0.004731920586647125 cahil-0.004731710471550469 düðün-0.004731262687044444 patates-0.004726618860984067 döv-0.0047264825395047895 yakýþ-0.004722680361955289 dikkat-0.004692269612601122 kanser-0.004623027178249868 kýskanç-0.004053132994061482 liste-0.0038741718991546063 gönül-0.003672811085220473 kaþ-0.003075738418769569 söv-0.0030391378976848283 þarký-0.002720448273078533 koþuþ-0.002634927959459666 þiddet-0.002605454106171802 yað-0.0025694782050547874 müzik-0.0025316881265688537 sarý-0.002512654979070638 huzur-0.0024516538568774347 helikopter-0.0023790132188052995 program-0.0023731153975157927 aþkýn-0.002366307692400266 
kabus-0.16253239736582506 rüya-0.10127977757733539 ürk-0.09170754303022267 fobi-0.04902051980535177 korkut-0.030838792716162466 resmen-0.027541255547102513 karanlýk-0.02426415334755073 eðlen-0.023581147650292813 geçen-0.022996552206757566 deprem-0.019783957041227387 gürültü-0.018863018135082368 öldür-0.017386053733361197 korkunç-0.015506322047722797 gök-0.01197579782771697 ölüm-0.009764883989729441 tavýr-0.009032197055873402 doðal-0.008826605772030609 þaka-0.008825285453098871 kudur-0.008824159622451772 alýþveriþ-0.008813835558253595 þimþek-0.008723281853131922 hata-0.00766375083691386 tepki-0.0073004648379387214 öfke-0.006953532397320099 bilinçaltý-0.006619960272150647 dudak-0.006601178287608922 iyi-0.005789757571149853 lakin-0.004881639021235733 tane-0.004787905096936567 köþe-0.0044133068642398755 böcek-0.004413306864203961 taksit-0.004413299442140273 grip-0.004413231245007753 cin-0.004413214207077978 býk-0.00440023397889529 þeref-0.00439856274926643 harf-0.0043495759711023535 zeki-0.004343290630238677 tencere-0.00405190369661109 kek-0.004000723974911189 inþallah-0.003961807081086482 þans-0.0038801189400866068 ayla-0.0038472439949964214 halim-0.0034673672194107776 ego-0.003194212412218767 vahim-0.002991109641203028 edebiyat-0.0028336258324622634 düdük-0.0025030591728290247 salla-0.0023513006635958386 meðer-0.002234860040966691 
kork-0.1273220169390665 harika-0.09598371220734 komik-0.08663631657944514 küfür-0.07013805381392223 film-0.05924641936002766 korku-0.05600914735608615 gül-0.0369102216354618 ölüm-0.031202224461870168 güzel-0.024065106933883754 acý-0.017683480705458166 vallahi-0.017124489342279704 konser-0.016360956518854466 keyif-0.01334038946672466 bok-0.013245343715370788 espri-0.011788596412515139 inan-0.011648828253663777 iyi-0.010928306115584336 deli-0.008774177918801404 onda-0.007826060441748552 herhalde-0.007747783505221252 bacý-0.00767458900660492 çare-0.00750263629531667 eðlen-0.007486994921450107 bura-0.006491051020804772 sýç-0.0060700277796234565 efsane-0.006004627344619695 sýk-0.005870107548140883 sosyal-0.00579205134105152 mekan-0.005368210506604963 müzik-0.005267255699687724 gizli-0.004979283829710862 kahkaha-0.004857811665982377 sinirli-0.004594999198228902 teþekkür-0.003999312386903925 korkunç-0.003964542132427948 süreç-0.003929969627599004 titreþim-0.003929969529192753 cinnet-0.003929967551165888 duman-0.003929966332325153 konferans-0.00392995206206287 görüþ-0.003929888885254766 inat-0.0039298176515484 ayýp-0.003929604722481858 medya-0.0039295998570131425 kitle-0.003926627989357126 personel-0.0039263074009683865 yakýþ-0.0039054491900537146 kurum-0.0037095465998521833 titre-0.003628964499052179 tuhaf-0.0034464879704996054 
kork-0.1549818488951357 yaþa-0.12307907421054201 tatil-0.06375282211302673 kop-0.05025698844240451 mal-0.037128187539279926 hayalet-0.02865818239909739 can-0.026683365029527294 eðlence-0.019429170627689788 eðlen-0.01886450565567438 kalp-0.01565584131999167 bura-0.015546301705778757 korkut-0.012968282838681393 özür-0.010918551277098227 rüzgar-0.010439774890094166 uðru-0.010438364430249248 ürper-0.01036972738212734 fýrtýna-0.009741303591735176 isim-0.009372765563686712 geçen-0.009111248786013082 manyak-0.007829965895386414 ayýn-0.007824156233765344 kalbi-0.007803130001126365 umut-0.007738547091549673 sarý-0.0076629254932159 normal-0.007629834297186551 aðla-0.007577545631114424 kötü-0.0074751638972551555 aný-0.007443246993862249 tahammül-0.007364487728280005 ihtimali-0.006434498134632108 yað-0.005789821519912984 hayal-0.005578417645592454 bombala-0.005216634518104192 özgür-0.0051927525827681 gez-0.00515821851882571 pijama-0.0051316827151853765 sanat-0.004504882923696916 sevin-0.004240734185706786 resmen-0.0038119662884618767 yukarý-0.0031618150034097357 sus-0.003047966556735861 aþaðý-0.002969857974256939 semt-0.002888901305675288 besle-0.002615986313442988 gemi-0.0026128024395580024 keþke-0.0026120085273324415 mýsra-0.0026100026901747417 meyil-0.0026100026901747417 vapur-0.0026100026901747417 dövme-0.0026100026901747396 
güzel-0.12646508080204166 beðen-0.08367962636493327 mutlu-0.07533901536642862 saçma-0.056710972768367215 eðlence-0.05000042070673465 sapan-0.04191924192940413 gerizeka-0.026801706485337747 salak-0.024657835803239846 mal-0.016061321754537488 inan-0.014971317047255473 evlen-0.014794829344140201 bozul-0.014386949463463632 kapý-0.012319264980743254 delir-0.010226346532000632 kas-0.0098632094488543 sinirli-0.009749741141104449 sistem-0.009541028943608969 paylaþ-0.00937756460609089 müthiþ-0.008672738272072973 kulak-0.007933268151762752 baþarý-0.007862220102213742 sinirlen-0.00782572670585374 yurt-0.007395913220846695 harika-0.0073187231004996104 resmen-0.007050489410378875 ilgi-0.0064795873362895155 yeter-0.005996041139001987 düþ-0.005555585764991004 kaðýt-0.004931740137198322 prim-0.004931739924639269 ödev-0.004931738328663597 demir-0.004931633426909393 çiçek-0.004928684648526845 yaðma-0.004925722521890271 mum-0.004922051197364995 sesli-0.004918822087035204 sön-0.004918621801564927 his-0.0048679974872422455 yarýþ-0.004861089208363402 yüzük-0.004787068447347056 çal-0.004747807006238715 yenile-0.004710764050004916 utan-0.004694403539776372 resmi-0.004678472810038084 basit-0.004586773984489247 fragman-0.00432513841066544 yeryüzü-0.0042317219272115635 tartýþ-0.0037756747935638107 tane-0.003740679636888847 film-0.003568442371094424 
güzel-0.07645124080026885 öfke-0.04724703650347089 kaybet-0.04462070048135188 teþekkür-0.031147746906123555 hafta-0.030751618816852386 sevin-0.028034205378031696 korku-0.026720957896120882 yað-0.019348537479171955 gök-0.01923576048256662 ilgi-0.015717143951579374 eðlen-0.014336219909758608 öðrenci-0.013865876314555544 çiçekle-0.011619146179476895 tatil-0.010266567242343568 peynir-0.009909592780287675 hatýrla-0.009489471912089206 bozuk-0.008632609343935997 engel-0.008596181044997521 kelebek-0.008580559107607924 bilet-0.008467357721211497 gül-0.00808895613109719 harca-0.0079715207719606 tebrik-0.007725948475069638 küs-0.0075412428949143805 acayip-0.007216604866684432 gürültü-0.007007559446669559 umar-0.006424968535110336 gürle-0.006025468715867998 þiddet-0.005862142555601275 eda-0.005853744795087166 kaktüs-0.005853744795083031 etiket-0.0058537447904609165 tehlike-0.005853740221543609 dershane-0.00585369310860961 gerilim-0.00585363975141529 þükür-0.005853467652892503 haným-0.005853446088414791 hadise-0.005850713749951987 þirket-0.00585039660065338 aptal-0.005837100530643012 bomboþ-0.005830901319956547 emin-0.005695903554283413 depo-0.005689986584332367 dilen-0.005201111567910757 ilgilen-0.004971166861293079 þarj-0.0049521913366098605 tepki-0.004776081431034323 pizza-0.004710129536277826 hediye-0.004692987861504574 kaza-0.004506989454069536 
