ünlü-0.052224340564157555 yeni-0.04216713326740089 oyun-0.041850333604047434 þarký-0.03415218798077875 sosyal-0.02716888680155903 medya-0.026968894011228532 model-0.02656103046649232 dünya-0.025806513733663647 film-0.021317954985030103 görüntüle-0.018101559297030344 öldür-0.016599465617600208 yunanistan-0.014250217038030368 reklam-0.013778142173298284 paylaþ-0.012585219535236357 bölüm-0.011198538871081885 baba-0.010734868754565004 çanakkale-0.010352750292396174 rusya-0.009969539999332996 sunucu-0.008554721424922853 kardeþ-0.007881978337937698 yönetmen-0.0073798493771582725 tanýt-0.007263217734324713 cihangir-0.007030788375556809 burak-0.006717037484501287 lise-0.0066402899520879004 genç-0.006624900277057579 recep-0.006454671414126723 evli-0.00634605552155188 baþbakan-0.006230509468243575 tilki-0.00585147570240266 marka-0.005415152357385602 göçmen-0.005108733119286208 yýldýrým-0.00505132453817673 yakala-0.00501228386206712 sürpriz-0.0049291955315424515 merak-0.004873878692483288 fotoðraf-0.004849240482032357 israil-0.0047142510768943754 tiyatro-0.004548452324172581 öðrenci-0.004530173349108611 istanbul-0.00452570151045034 arnavutluk-0.004509273105781777 rol-0.004459024623661586 hayal-0.004382592618008542 kenan-0.004241864653748556 üniversite-0.004140877823831979 yanlýþ-0.004052120143982121 hesap-0.003945359092512658 ata-0.0038854466039916977 çakýr-0.003839801802679131 
paylaþ-0.03877873308914699 dizi-0.03315367162869633 oyun-0.02682701836841289 þarký-0.0247227594390307 objektif-0.022267458782250418 izle-0.020166309457186844 program-0.01834426404157926 kutla-0.0183322558332648 hesap-0.01588161097270853 yansý-0.01556510262381687 binali-0.014788065074010743 günü-0.014163807047681151 düþ-0.013379350817364926 yýldýrým-0.012209303229587718 ekran-0.012048752915976419 ibrahim-0.011884976636121567 ünlü-0.011396652353555959 dikkat-0.011076845039378367 fotoðraf-0.010677445872627261 medya-0.010150279802749535 yatýrým-0.01003832839386716 sosyal-0.009739238349329238 mekan-0.008998059172253822 demet-0.008886540076319366 haber-0.008690223927398846 kazan-0.008121594863803684 aþk-0.008061036231369985 türkü-0.007920973317171811 ifade-0.007713080380865791 karakter-0.0076663875748201726 þans-0.007107373896851854 akalýn-0.007070620487409427 görüþ-0.007045910006774875 küresel-0.006633525061110858 endeks-0.006620654629651026 teklif-0.0065734353860462304 konser-0.0065581532731590515 alýþveriþ-0.006250797090883393 aylýk-0.00623719577386083 gerile-0.006186066479871071 konuk-0.006170535038903194 puan-0.006106793517972153 sahne-0.006082829410943994 yabancý-0.0059342179780172265 cem-0.00576324807367432 yýlmaz-0.005744732966269473 eðitim-0.005739434462460032 eser-0.005519832188787771 ahmet-0.0052535886207037705 kiþilik-0.005037037374159452 
bakan-0.05209171485880591 sözleþ-0.03360524602051051 beþiktaþ-0.025635458287987658 baþkan-0.024771318565614552 ankara-0.023631757804404872 gelecek-0.023544892862651833 galatasaray-0.022104613107558634 yýldýz-0.021049549097484313 türkiye-0.019039011132262508 aday-0.017504445170207238 operasyon-0.016811562620198065 oyun-0.01657330004931293 sezon-0.01590777991908561 konu-0.015606192510822898 yönelik-0.014967232485067596 imzala-0.01486564700510767 futbol-0.01466017959825336 belediye-0.014379804430827123 ekip-0.014376537022204695 chp-0.013578795100163557 antalya-0.01345088516683847 toplantý-0.012614786933440923 anlaþma-0.01120250135253486 takým-0.010820695397683938 görüþ-0.010671705063417112 aðýrla-0.009351444117693999 tuna-0.008259165304737855 kurul-0.008205880236269714 mustafa-0.007876532379483547 örgüt-0.0076821954671885025 maç-0.007648894558964082 basýn-0.007430400712319547 antrenman-0.007367614125489386 mensup-0.007092016898956711 forma-0.007083721905659512 gözaltý-0.0067621089018345465 serdar-0.006097089517216124 dursun-0.0057270032250972 iran-0.005696826767288627 saha-0.005664668134428372 müthiþ-0.005160591400538561 piþman-0.005160516208919622 özbek-0.005143582768811068 tecrübe-0.005140788551777781 hak-0.005131720115378545 ömer-0.005120874157028115 yenile-0.005047763761109852 görev-0.004945276285118523 kilo-0.004850745691755332 kapý-0.004743624673433007 
dolar-0.04927820826401335 yýl-0.04122366486880931 yüzde-0.04041894383971431 abd-0.02606305474015306 ilçe-0.024027394992076716 hisse-0.01998831254533507 marka-0.01791092500376542 art-0.017254587633918003 evin-0.016828940871386387 büyü-0.01660672493321035 çeyrek-0.01620638673992784 þirket-0.014490199451758608 silah-0.013952497778696085 gelir-0.013676752425057545 operasyon-0.01350782473068391 aylýk-0.013267550657013401 hayran-0.01275649621411757 yaklaþýk-0.012621808990473656 yüksel-0.012387059568953583 net-0.012016536985725097 sektör-0.011797159607351167 ekip-0.011736410380461368 ton-0.011073109018537915 arabistan-0.010535481454966378 suudi-0.01051348130242304 türkiye-0.010276643330878446 sýnýr-0.010079051171744369 özel-0.009549505030293623 reklam-0.009515016183265307 üretim-0.008438939961139922 intihar-0.007812186777511331 film-0.007617814170542701 gözaltý-0.007031751693742893 azal-0.006928956792800246 kar-0.006906297716469023 fiyat-0.006874644254246206 emniyet-0.006049489250385525 öldür-0.0060074501474772874 yönelik-0.006000965302307578 ait-0.0058554916499116 jandarma-0.00583623518462638 düþ-0.005413520301456134 reel-0.005342608375348787 tahmini-0.0053419742174385994 rakam-0.005313695733411449 cari-0.005168102951944738 set-0.004992005125345679 müdür-0.004976968100823888 harir-0.004861669603871064 çocuk-0.004728105266341714 
yüzde-0.053700415195064084 dönem-0.046002305454081134 dýþ-0.03965281720527875 türkiye-0.03344939692701817 yýl-0.029128830260832832 günü-0.02135541238850124 cumhurbaþkaný-0.020199774401816115 oyun-0.018722081188308228 asya-0.018467426370170716 endeks-0.017899018488726107 yabancý-0.017346722403037706 birlik-0.016334654589522102 yurt-0.016279970121544467 yasa-0.0157547908108089 ayný-0.015618187863559807 izle-0.014798013654185276 yarý-0.012869134898434427 süre-0.012792014654038104 baraj-0.011405449363402494 ziyaret-0.01128109835192332 geçen-0.01095789500843896 seyir-0.010840857472692122 boyun-0.010624807714181974 katar-0.01029271608739822 halk-0.008972171884130934 yakala-0.008701324414892018 cinayet-0.008241596524861075 futbol-0.008158074175289264 deðer-0.0073281683812521535 film-0.007297391485644313 cumhurbaþkanlýðý-0.006417329164458494 pepe-0.0062793835678890955 kaçak-0.006223160609161839 ihracat-0.00603062410991015 edirne-0.005708926069945839 seçim-0.005478110854650052 islam-0.005404204844707063 deri-0.005111246724636592 satýþ-0.0051059353796603065 balýk-0.004923108873716772 sinema-0.0048401756078913305 alýþ-0.0045924755379506904 tedbir-0.004557964686774079 facia-0.004532745210737036 iþlem-0.004414656948028315 puan-0.004289413216269702 meclis-0.004278863208051374 görünüm-0.0042485043284203605 muðla-0.0042244095447268315 istanbul-0.004218766066038199 
lira-0.06421723429459622 dolar-0.04528993083066337 þehit-0.0402000119391086 altýn-0.030925126269463452 polis-0.022619309125661263 iþlem-0.016304334368936496 yýl-0.015578304737361163 sahne-0.014879927162835073 borsa-0.014497078886883619 istanbul-0.013581709719980468 bütçe-0.012955756119646398 öde-0.012216084064478069 yeni-0.011821982253726434 yangýn-0.010455118372088889 negatif-0.01043416095891455 asker-0.010405897803763163 kar-0.009646865635678886 fon-0.009590248574351354 karý-0.008986739696591214 art-0.00849838607913576 dünya-0.008243288863119902 patla-0.008035953842272724 mali-0.007834315403190076 aracý-0.007351777016071878 uluslararasý-0.007022440998402514 konser-0.006922777722900605 ilçe-0.006914270340757387 çarp-0.006739090087646839 türkiye-0.00666286206486861 hakkari-0.006532765158427985 geçen-0.006522619483594285 otomobil-0.006512732269466611 çeyrek-0.006491206803822302 endeks-0.006396107312600414 bank-0.00638847290576922 yarala-0.006107391431434342 þahin-0.006103370298658271 düþ-0.005948429490291828 ateþ-0.005873602931040557 yasa-0.005749749001062607 komutan-0.005704123201622094 elektrik-0.005514016838889885 ciro-0.005427397417622246 elde-0.00536028546310092 metro-0.00517285754095561 dakika-0.005163557081058571 çavuþ-0.0051572362326436265 tutar-0.005124485850004926 uzman-0.0050734412641592645 sanat-0.005061184440944844 
faiz-0.046227307964778204 artýr-0.02788549948327554 nato-0.02371199670036141 ses-0.017814576499976028 baþ-0.017751949222888117 oran-0.01679883244915635 seviye-0.01521479366054091 ilgi-0.015180905083849889 para-0.014735627847847634 kredi-0.01384211172157216 acun-0.012546509373762353 sekreter-0.012496319133118449 rekor-0.012326871011895495 ýlýca-0.012175264682297732 yüzde-0.011786267659094116 ingiltere-0.011676846822659041 maç-0.011455664136466589 skandal-0.011157662252947096 yýldýz-0.01088626896561603 geri-0.010427139372594154 mahkeme-0.010375135184754213 açý-0.010240241690058516 türkiye-0.009722534567421373 düþük-0.009336180065192616 telefon-0.00899104714064678 ceza-0.008636927872338272 indir-0.008598305655087082 fark-0.008292699460369118 düþür-0.0078498920883681 ülke-0.007622980362088999 meral-0.007437960453139122 savunma-0.007299779269057048 tatbikat-0.006974670328025745 ten-0.006850485647828313 kampanya-0.006843856154942942 imza-0.006685408765954505 ýrak-0.00657211385022551 ebru-0.006495762501779379 tenis-0.006162158746226095 yarýþ-0.006010259505871053 amerika-0.005967034721976618 turnuva-0.005615298731429711 istifa-0.005602390914901727 subaþý-0.005566070926533914 satýþ-0.005564368506033674 tel-0.005560478694358152 cumhurbaþkaný-0.00555787577624377 yorum-0.005417964590997046 þarký-0.005334410913632424 iþbirlik-0.005331290197582883 
genç-0.034898143634926056 türk-0.02989861124522452 hafta-0.02472307996411712 yen-0.022230410554861437 baþkan-0.0205549166761892 saat-0.019360639721961014 program-0.01917208140481515 yayýn-0.018198691625959638 bölüm-0.01765782589284287 söz-0.015880211780831186 can-0.015691115567457774 dizi-0.01361486986022068 lig-0.013549146183421297 sezon-0.01317834873487413 bursa-0.011823410910930322 belediye-0.011801556961798895 kabul-0.011237096471259912 ekran-0.010473229495712857 grup-0.010428702422459014 þampiyon-0.009874731941337181 merkezi-0.00987341954752461 izmir-0.009547582384717729 toto-0.008829975230012168 ispanya-0.008787161353866157 alýþveriþ-0.008538989819804364 baþarý-0.008313791128357633 baþ-0.008297691076190336 istanbul-0.008000082756833378 motosiklet-0.0070826044618575315 kitap-0.006854173584304178 yerel-0.006643279011419863 sinema-0.006613569895126478 hal-0.006439185013657774 konya-0.0064027089521663865 oðul-0.006394921967033884 ceset-0.006079727808995108 hak-0.0060008757679957505 kayýp-0.0058521696987974894 yeni-0.00580608013922503 hisse-0.00578568256215461 star-0.0056752090483376625 fragman-0.0056643137523409055 istihdam-0.005657477960063105 vatan-0.005610553510219058 bülent-0.0054722724181286014 spor-0.005431028079914545 kaya-0.005344273615071286 yaþ-0.005266553459857926 tartýþma-0.00505183796292075 hindistan-0.005016835826377782 
yeni-0.039186838065220574 cumhurbaþkaný-0.030363435379505678 þirket-0.02611006566414988 türkiye-0.024587367735020023 oyun-0.022914275846211054 dünya-0.017750250358838676 baþkan-0.016738667014105795 abd-0.012825725310778354 dev-0.012647140009789053 istanbul-0.012546797848517834 görüntüle-0.012221026037072815 görüþ-0.012114027837694392 terörist-0.011719552892716836 vergi-0.010841851804079594 almanya-0.010481062000977289 ilgi-0.010335063570597904 liste-0.009801628918608266 yarýþ-0.00926896234418559 avrupa-0.008718687139938749 banka-0.008057254387785215 satýþ-0.008026219082032876 ele-0.007985823211718144 politika-0.00794688175805286 borsa-0.007680715361792792 tayyip-0.007507035188746558 üret-0.007385564358936164 kahraman-0.007322166044901152 kapsam-0.007071644384230332 recep-0.007069583698087972 damga-0.007054890613941094 not-0.0070527604416235155 albüm-0.007045431910208929 yönetim-0.0069589621430849735 piyasa-0.006658159067273117 sezon-0.006474871812043975 gayrimenkul-0.006244207155308798 hava-0.006204040049622015 devir-0.006192691491674422 alman-0.00615121203351863 bonservis-0.005744724329629095 bölge-0.0056538974100498905 küçük-0.005555062652986807 genel-0.005420874459929586 hata-0.005382197828992501 müzik-0.005301388315978295 aydýn-0.005142877803895469 reform-0.005076682477798841 kupa-0.005056761770854261 rapor-0.005034551207474992 suç-0.005024196123050781 
banka-0.05535863472774342 piyasa-0.042974933258763184 baþbakan-0.04139631497758583 merkez-0.03497552587048615 yýldýrým-0.024503122377023717 abd-0.02208342409637499 kriz-0.01859874417954415 veri-0.015521397163187789 kanun-0.015081873313258538 kredi-0.014794909369729076 oyun-0.01259939945255999 para-0.012005660485774167 arkadaþ-0.011942375471873153 haber-0.01177522747393986 istifa-0.010620933228061158 altýn-0.01034708076888986 lübnan-0.010208462772159262 eksi-0.010017348669548252 servis-0.01000246020298152 minibüs-0.00885718079029222 art-0.008827267958757799 üst-0.008201439729411904 türkiye-0.007847494474183246 iran-0.007683038613327358 toplam-0.0075692907192934 sistem-0.007518225562073782 cumhuriyet-0.007285179036362882 geçen-0.007226171302999213 dikkat-0.006968885804006738 harir-0.006833386256463756 fransa-0.0066813195384726985 rezerv-0.006467817254112369 cumhurbaþkaný-0.006352423588737206 düþ-0.006191603841821033 saad-0.006155817358437175 hollanda-0.005986203030274971 fotoðraf-0.005716746231213728 oðul-0.005707631793131374 destek-0.005697859298710416 otomobil-0.005688851056221446 orman-0.005627381152483107 satý-0.005569981629786845 beklenti-0.005552791149215491 arka-0.005461349981160827 içeri-0.005451483270124771 risk-0.005251536683666706 ihale-0.005251067627644375 ceset-0.005200063134704945 deðiþik-0.005148047034244161 tepki-0.005000578199212259 
kiþi-0.09836214772069866 yakala-0.040441225728347414 operasyon-0.032667825921165704 ilçe-0.03033058273763304 transfer-0.023550839210532533 terör-0.02281656326951412 saldýrý-0.021783328914284007 þüphe-0.016543091974679187 kulüp-0.016111877880834707 örgüt-0.01563453867159844 polis-0.015603053284339245 yarala-0.015579217062826452 teklif-0.014913348652072065 grup-0.014502373748941881 hak-0.014393222174942148 yýldýz-0.012963636142317663 tutukla-0.011951754086449638 kavga-0.011128833623554837 gözaltý-0.011092575635654777 silah-0.010614945107769743 öldür-0.010159332650881179 adam-0.009864515309088493 ayýn-0.007925406434057992 rusya-0.007657452858090036 mehmet-0.007640659042401162 devre-0.0072044824240750935 iddia-0.0064129991317129695 hale-0.006337173439790631 ülke-0.006255114122490519 ayýr-0.006107222192403781 abd-0.006106931292015017 ankara-0.005862477718472944 yönelik-0.005728314603497322 yatak-0.005700054984732815 kent-0.00525941756609159 sevk-0.005193527235815808 rize-0.005161770537859559 ekip-0.005043841936194453 alkol-0.004938575285310221 aþk-0.004918340585676418 hýz-0.0049180612255924645 çift-0.004776949250150226 hýrsýz-0.004772462925114791 rus-0.00470230387534041 çatýþ-0.0046833357948901505 federasyon-0.004505508614332531 istanbul-0.004502829992229525 otomobil-0.004383819500212065 esnaf-0.004287965139425345 þafak-0.004140076026237234 
