üzgün-0.10076969098174997 inan-0.09960299551531161 ürk-0.08976808996397931 aaa-0.06878659382055459 resmen-0.059385359671046176 zor-0.05880963034618762 çök-0.016058001653435176 manyak-0.015666038025556016 ilgi-0.015594976188526847 hafta-0.015551229798812979 özür-0.015084932684678623 umar-0.01435563839052875 yor-0.012873640264401253 gök-0.009438025183310546 hareket-0.008896707491019283 agresif-0.008425813794812711 rezil-0.008380089595501032 sinirli-0.007851987412509141 baðýr-0.0074512915286848586 ciddi-0.006627449964848101 zevk-0.006506645323874923 cadde-0.006504421544051831 hobi-0.006494243416239931 sevda-0.006475096705164712 genel-0.005671532626765558 dað-0.005665584927475388 beyin-0.0049722196541612555 ömür-0.004766277320471779 torba-0.004646238297544627 çiçek-0.004545312393319044 yetenek-0.004526011898708688 öðün-0.0043378015363225615 böcek-0.004337801444964403 dilen-0.004337801435741364 yüzük-0.0043377539288735395 toplu-0.0043364560601742924 harf-0.004335881834829367 görüntü-0.004335651497683492 aciz-0.004334808368677755 psikoloji-0.0043285231229489044 tarz-0.004307066932522686 öksür-0.0042945379216852405 mantýk-0.004289118832310466 köþe-0.004269752551187273 rahatla-0.00426830205511455 cidden-0.004247178866368364 oluþum-0.004229067721260744 þimþek-0.004213238645574131 beraber-0.004075763925173535 günlük-0.003951506699533472 
beðen-0.08685248741990663 irkil-0.08089240518870447 üzül-0.06706310222465862 düþ-0.0501321571451952 korkut-0.03374500678083984 yýl-0.03328679691642598 mükemmel-0.0226462777311492 kop-0.0217570108291055 harbi-0.017527473984361098 kýrýk-0.017432058527111206 þaþkýn-0.016049195550445417 dal-0.015057208405927957 agresif-0.014817831652021989 garip-0.014743915975914193 delir-0.013984736327508426 yað-0.012738376812694647 ölü-0.012336751287349068 facia-0.011818515568673466 anlayýþ-0.010915342168308896 rüzgar-0.010897794540794292 kayýp-0.009980458337051345 vallahi-0.009337894632695753 korkak-0.008732960574846144 bomba-0.008607104114503323 fotoðraf-0.008181224505390619 dans-0.008137664196743817 sabýr-0.00761398905231052 ruh-0.006874101135323432 mekan-0.006761455420180625 batak-0.0065497509581175185 yaka-0.0065027010514566615 kýyamet-0.006418120662148353 hazýrlýk-0.006290749490322407 endiþelen-0.00617302962023477 harika-0.006086580468754666 liste-0.005548366614612658 küs-0.004372072387065692 helikopter-0.004366500640141897 yaprak-0.004366500627607915 menajer-0.004366500136710606 kusur-0.004366498874973069 mesele-0.00436648818872498 gölge-0.004366351864605925 kompleks-0.004366164957580405 yad-0.004365943356142126 koþuþ-0.004365677082029873 aday-0.004365349507608506 yorgan-0.00436265194545741 saye-0.004333889575194026 mýsýr-0.004308390423864982 
mutlu-0.19515769873059147 korkunç-0.1126366493348081 lütfen-0.03270184368479367 keþke-0.030086397550433405 tatil-0.027207667816535743 ölüm-0.02704231297311238 yýpran-0.022573363252931987 sinirli-0.01982942342338876 heyecan-0.01973881546090684 mesela-0.01809794656405817 gül-0.017929140794385713 sevgi-0.01602691893181581 eðlen-0.014765512316632944 efsane-0.013504976047992303 kulak-0.013401047351387594 yara-0.01205842161593507 paylaþ-0.011599007554196572 çarp-0.011579209751097023 saðlýk-0.011556086605894517 fena-0.011038883951793988 ölü-0.009819605215048327 dol-0.008844975905609714 dudak-0.007716376586157803 aþk-0.007694826213558903 ruh-0.006531671748195818 staj-0.0060147723994532255 kura-0.00579216707770751 neþe-0.005791413683920831 transfer-0.005787534083076719 sevinç-0.005485877523161942 pizza-0.005395096441939874 lakin-0.004917716317651489 fikir-0.004706708357950985 güven-0.00465907530176348 komik-0.00447248990567358 kýzar-0.004341613230071129 yýl-0.0042492406007431744 tebrik-0.004117197873556887 kafa-0.00397283854100303 yapýþ-0.003883045439511736 toprak-0.0038599918799727333 sesli-0.003859989304696179 sülale-0.003859974178863749 aksine-0.003859973431330974 alev-0.003859813530953787 dilim-0.003859542640515375 ateþ-0.0038526924550512935 analiz-0.003851293047813023 kaðýt-0.003675821952281862 saya-0.0036617990318337343 
mutsuz-0.21248616934308162 kaybet-0.07247769995624101 sev-0.061592893284141276 söv-0.043206299539613476 mutlu-0.0249875787587358 salak-0.023460849393371196 kanal-0.018742848744267092 çare-0.01787523200153936 kork-0.016404265975619173 stres-0.01614573654502042 fragman-0.014034776199350361 sevinç-0.012896104018782406 grip-0.011706260835157826 sar-0.010059973545724752 misafir-0.009228732527392315 taklidi-0.00891051003760209 eðlence-0.008544994363142535 ilaç-0.007853601845287732 tane-0.007369262137298559 ayakkabý-0.0070407990701462754 leþ-0.007040774342701145 güldür-0.007040073897800295 kahvaltý-0.00700787445907552 paylaþ-0.007006068208591465 sakinle-0.00693556657271679 hayli-0.006809121365197471 karþýlýk-0.006663860633072576 öðrenci-0.005882692772214111 makyaj-0.005874442020572205 pijama-0.005559924190223163 elde-0.005386551784794916 çark-0.00469386670959649 çoðal-0.004693866708521152 sön-0.004693866675902855 mum-0.00469386654545089 elif-0.004693859263920226 birebir-0.004693831299115735 kutsal-0.004693795666873901 soður-0.004687666095960339 düðün-0.004682786049036159 alýþveriþ-0.004672817851016869 düþman-0.004596469420113805 kral-0.004573570493642427 þaka-0.004505596292219213 cep-0.004308902880879754 kriz-0.00424250611552837 aþýk-0.004167392802075373 göm-0.004127367084632094 bakkal-0.004110427315518349 köfte-0.004101998819522009 
sinir-0.09600300622714161 fobi-0.08840599051889825 hayret-0.07796741256020585 vay-0.06751052711218264 ürküt-0.05852292380083237 küp-0.0506478102025419 kop-0.049865295187068656 oha-0.04415278722366348 patla-0.04105656644474269 acayip-0.03063196734403299 inan-0.023867306540055092 yýpran-0.018988873386243763 ciddi-0.016873590523023802 cidden-0.013620208712796155 kötü-0.013121664508991673 kapalý-0.010245975193141231 deprem-0.009573128968214524 ölüm-0.00835206113139589 söv-0.0073328838827282205 korku-0.0068769481056054835 ilginç-0.0068298655299181684 iliþki-0.0061469274545658086 devlet-0.006138798897489604 umursa-0.005966542831201545 kader-0.005774093507215289 gönderi-0.005515760278711825 tuhaf-0.00498422143674159 þiddet-0.004821228114974712 hakikaten-0.004606744892827037 taraftar-0.004098482435552187 bulaþ-0.004098433218016414 taksit-0.004098001305361115 gayret-0.004097639663350724 efendi-0.004096487067838091 gerilim-0.004096097170335784 edebi-0.00407227034388456 olmadýk-0.004059759209783011 feryat-0.003236812575213689 belediye-0.0032123304747765894 burç-0.0029063722166807007 atla-0.002810866907267942 fena-0.0026125233719859545 enerji-0.0025631575057256484 huzur-0.0025090413212327475 tekerlek-0.0024575981344400278 kan-0.0024560442556018085 bina-0.002366561695967936 þaþ-0.0023645991690125624 art-0.00234571118571176 fare-0.0022847992393879254 
gül-0.14791123862077826 acý-0.053366439198563674 mal-0.05185170650669735 hayal-0.041282919584471 inan-0.03378106475325199 yayýn-0.022459826444237083 yalnýz-0.02243963745546217 baðýr-0.020394137020855158 zorla-0.019891422307444045 yýka-0.017386163454864236 onda-0.014952014267055535 üzgün-0.013759410399528537 kara-0.012471261277764616 harika-0.012460221510179779 soðu-0.012448386926406202 kavga-0.011759259113227167 sinir-0.010759616705243879 hakaret-0.00998217901653502 canlý-0.009980960344333973 sev-0.009378519426019383 üþü-0.009346505764233006 halim-0.008416177566344817 deneme-0.007644028384375833 sabýr-0.007567740693478166 bakýþ-0.007481317862212274 çeviri-0.007477242450029152 makarna-0.007457892031048028 dev-0.00721476232831336 kadir-0.0071991034901552845 kitle-0.006621130861846259 þahsen-0.00621591920420906 aptal-0.006184145233510781 açým-0.004991089401081778 vefat-0.004991086764338665 beyinli-0.00499108460224774 götün-0.004991070106621188 merkezi-0.004991054573412488 yitir-0.004990813019480757 bebe-0.004990725943008642 market-0.004990705219256091 ruj-0.004990655414648326 þok-0.004981862149559273 nöbet-0.004721948500041957 þaþ-0.00472101705496138 kabus-0.004691748709523989 iddia-0.004631340438337591 pislik-0.004574389121829421 karanlýk-0.004191454491699586 öküz-0.004184420992927621 makyaj-0.0034966425364869155 
bozuk-0.12056420026882597 moral-0.1156559856154141 aþk-0.0656671468198896 aþýk-0.06495543875374934 þok-0.05776258808635117 gül-0.047228938928753655 yaþa-0.02666518311529466 sürpriz-0.02341410522515023 hah-0.021939937163381988 oyun-0.021902630783667252 kalp-0.020429434453188566 kuzen-0.01709832969478574 tavýr-0.014764778548120208 düþür-0.014743968397193162 doðal-0.011152529472387391 manzara-0.009842987876748295 laf-0.00839299148916879 umar-0.00803573858555613 dert-0.0076070837598605605 bahar-0.0073823630835983855 itibari-0.00738189142109643 arda-0.007377480876129334 mezun-0.00723719174879297 tercih-0.006574069302800709 örümcek-0.006481340458604923 bura-0.006372014632836995 kültür-0.00527675394384779 stres-0.005158655742344198 baký-0.004921592794485333 domuz-0.00492154689618898 fakir-0.004920864062996579 kok-0.004920674017046229 dem-0.004909878728971919 sunum-0.004909576263823396 dergi-0.004781850785049098 defans-0.004574634317919687 uðru-0.004390163410882193 komik-0.0034129775946484305 irkil-0.0031075259746180402 pusat-0.0029516120051014767 çorap-0.002912319305223066 sahne-0.002848060205376833 alem-0.002689209731964193 veri-0.00257357618238335 tahta-0.0024969237446763005 yoga-0.002475298765148842 eþya-0.0024742472901155515 reva-0.0024714336023403663 düðün-0.002471202888230608 muhteþem-0.0024704701671221163 
þaþ-0.10318415654045318 hafta-0.0988174099903081 komik-0.06583303692698997 bunal-0.05872800060248151 inan-0.03906524515851545 heyecan-0.03505841813114476 kafa-0.027177124999493697 yeter-0.02673224289401327 utan-0.019622458552320393 yara-0.018605663150413697 yiyecek-0.016243826129507952 ölü-0.013809500386011158 saldýrý-0.012821795044996904 elim-0.012156711298944918 sapan-0.012067716608547741 baþarý-0.011349721095149694 dile-0.011208397049514837 alýþveriþ-0.009406753374703912 peynir-0.008635261770466087 laf-0.007822689683269133 harika-0.007605421431082119 saçma-0.006978957898853538 facia-0.006825677054160971 derece-0.006655892880413326 þüphe-0.006541904600742339 vatandaþ-0.006522950204493436 saçmala-0.006213772433785794 endiþe-0.006155012853417692 engelle-0.0061206377984462015 harca-0.005695356454224518 acil-0.005340054561695178 hain-0.005130609490976257 vallahi-0.004906026924621216 naif-0.004840878655777963 umar-0.004774327192942603 rahmet-0.004586576661508615 eðlen-0.0045530024484895714 asker-0.004365938751177982 þifa-0.004361674994831109 final-0.004361672428667844 müze-0.004361672184651229 trigonometri-0.00436164131781136 konferans-0.004361624904201194 lime-0.00436119936587154 yumurta-0.0043608977474513845 diskalifiye-0.004347863598267457 cinnet-0.004231022886531741 yýl-0.0042283777144668305 temiz-0.00422612582762276 hilal-0.004149913784976162 
korku-0.10545263246111976 film-0.09763603811359267 özle-0.0928884076789604 sýkýl-0.06568695614572519 sevin-0.04598732330189896 galiba-0.04504195522632105 kork-0.03429744588974059 duygu-0.033466896952917456 keþke-0.021895435877954384 bura-0.01779915068770197 bayram-0.014050380557054383 anide-0.012233336215186909 kaza-0.00888457202925791 bez-0.008235798546459774 ürper-0.008235116634704056 þarj-0.008225941848454578 dile-0.00795475428069313 cesaret-0.007797120621408052 hastalýk-0.007761012304551221 kutla-0.006472319809449377 iðne-0.006176841463838647 gizli-0.006166828689138368 laf-0.005502554060879815 pislik-0.005159418341636052 ürküt-0.004942907198318076 güven-0.004771942217321901 nefes-0.004591162044413134 görüþ-0.004277139744799719 hata-0.004174739393744399 dip-0.004117899687078511 diri-0.004117860269588025 hayran-0.004117797637854481 takla-0.0041171429096099965 dalgýn-0.0041170454196808445 içten-0.004115694977676339 pozitif-0.004111216821409581 göðüs-0.0041061045101784465 pasif-0.004095338162885947 dehþet-0.00406743696374395 depo-0.0040662763573319945 tür-0.004034920414377495 niþan-0.003947090553018991 rastgele-0.003910262982220957 beklenti-0.0038979574810097165 perde-0.003857171768655777 bilinçaltý-0.0036800107349958286 kapan-0.003661958636935466 fobi-0.0035406155889424057 umar-0.003516865452362346 patla-0.003145321667283535 
sev-0.15770296118824062 kabus-0.12303526242724816 hayret-0.11355490801290789 rüya-0.0713503309569858 geçen-0.03863334174227633 komik-0.03658577621459941 hoþ-0.014080633440065873 ciddi-0.013702410581696032 kazan-0.013203244254717635 savaþ-0.012313966407875312 yazýk-0.011530761077756666 öðrenci-0.010248261845355617 sýç-0.00983077572180133 teklif-0.008650774078820306 kafa-0.008116007278605893 kas-0.007992016001300459 muazzam-0.007884296854148801 tane-0.007076293109431457 isim-0.006796275673799845 saniye-0.006092065880151911 kýna-0.0059144885591124125 resmi-0.005910421950943073 boya-0.005879269366778987 yaþlan-0.005768737984482046 fatih-0.005481628799656283 kýskanç-0.005144151859578128 hakem-0.0050587660233317715 þans-0.004950164975109413 delir-0.004575624310681024 yiyecek-0.004336429900025119 edebiyat-0.004108914913677177 mevsim-0.003943936369179656 esas-0.003943913397029127 fonda-0.003943890742131238 boþuna-0.003943818258209876 pat-0.003942195732757498 basket-0.003942181456037385 dikkat-0.003942104905462532 trafik-0.003941546525764564 tampon-0.003936864219226734 kopar-0.003936327947810854 fýrsat-0.003923293386511646 banyo-0.003907003607815441 hafta-0.0037953096863465826 sevimli-0.0036821136927989626 geber-0.0035781429866614005 þen-0.003512806960126781 aman-0.003408398447030371 yarabbi-0.00288098692198777 ziyade-0.002782556511754491 
günü-0.1106537448331038 öfke-0.08609603150308881 doðum-0.05988065080884109 kutlu-0.05424954576753865 iyi-0.051250487995785396 yaþa-0.03839890856304493 kafa-0.026785689508682084 iptal-0.020829849025000846 merak-0.018731249932372004 doktor-0.018587930482170036 þok-0.018160943252366602 sevgi-0.015467375348388619 azý-0.010371653162852322 pasta-0.010276425330939186 fýrtýna-0.010193755915797298 sevinç-0.00980191909419061 keþke-0.009774918693173167 eðitim-0.009324701862217212 beyin-0.008662910337874566 yastýk-0.008332503228947024 kahret-0.00832948453042826 kahkaha-0.0083230364347498 zafer-0.00831660861253157 sosyal-0.007977663296866003 dile-0.0075891561556428655 keyfi-0.007569375291015642 don-0.007477136933432202 irkil-0.007131437277871885 sistem-0.007003573451931731 burs-0.006249777458620627 kel-0.006249514799379744 yarým-0.006249024044572188 bomboþ-0.0062485360486251775 dolmuþ-0.00594407653844219 sessiz-0.005782376196033552 dershane-0.005597907373565621 yor-0.005254670461043226 gazete-0.005112508120654731 ora-0.004969409062513899 can-0.004722419359916258 tatil-0.00467113586747371 huzur-0.0046058032319192515 hoþlan-0.004262753886204648 sürükle-0.0041665174165213086 alkýþla-0.004166511772268316 istifa-0.004166449643039943 kalabalýk-0.004165917898984842 dayak-0.004149774911473628 gerekli-0.0041256887648831436 suna-0.004111797010001661 
