yüzde-0.04618103913716194 yeni-0.04099156532832177 art-0.03542681856461037 þehit-0.027053681752181213 polis-0.026760474424626996 yýl-0.026587524855729593 ilçe-0.0260522821234231 ayýn-0.025144730599014474 yazýlým-0.02276346183516649 operasyon-0.02080715647492305 asker-0.018096109766584715 yayýn-0.01723329200747273 cihaz-0.01415169597234923 ayný-0.014072561398460139 bilgisayar-0.01277594158557638 amiral-0.012368779470758217 batarya-0.012365921431470398 model-0.01232427471157993 gemi-0.011544169589571664 seyir-0.010122944304903611 güncel-0.009334259647257197 asya-0.009278860058032981 uyuþtur-0.009225189224356112 endeks-0.008904314000991384 hal-0.00832112338840168 gözaltý-0.008310122934687237 liste-0.008300751641008281 sanayi-0.008138608839599895 merak-0.00779281079221832 kiþi-0.007461234142169479 abd-0.006448634313556974 istanbul-0.00630778089213245 satýþ-0.006065290849289379 büyü-0.0059962920786327395 seviye-0.005984286546245643 özel-0.005880255335178195 ton-0.0056500166822688455 silah-0.005433696635235391 halka-0.0054232299202558645 hemen-0.005363200262727561 tavsiye-0.005330017045894051 negatif-0.005138495466508085 detay-0.004947789871813517 saldýrý-0.00491138623453633 üretim-0.004901549248504069 arz-0.0048127498994995676 alýþ-0.004438235615413222 yara-0.004429107628309963 piyasa-0.004362635088643958 mali-0.004316375617819747 
saðlýk-0.03360292442180621 yan-0.025085597046578614 dünya-0.02318891119212934 tenis-0.022594931536441935 ilçe-0.021540460150651523 yaþ-0.020467635639394112 final-0.018067434626335428 yüzde-0.015731228799647515 durum-0.015667565222809137 tedavi-0.015288366872115168 yaþam-0.01527867528935499 yitir-0.014327104678008773 faiz-0.014273556107528739 sorun-0.014194231203168161 þekil-0.012581574470072581 özel-0.012066551853179244 oran-0.011650236946460732 turnuva-0.01120927186667991 indir-0.00992127907198872 yansý-0.009567582727030545 alýþveriþ-0.009014178769576185 can-0.00850152118010124 döviz-0.008348187878331607 aylýk-0.00824612534724428 besle-0.007772789701051169 altýn-0.00766328088931127 çocuk-0.0075983520218451586 mehmet-0.007582138111466909 servis-0.0073297603833714494 diþ-0.0072454207578510465 ten-0.007234155221742226 dolar-0.006710688208041892 vade-0.006709352775003903 seviye-0.006705190319902487 isviçre-0.0064314189065794655 ingiliz-0.006185075533255768 kademe-0.006047034049867667 abd-0.005952060837446094 çeyrek-0.005865132174773387 bað-0.005802391030983871 düzey-0.0057859664640999755 alacak-0.005764327247996698 azal-0.005678977188808984 kolesterol-0.0056328580340562285 karý-0.00560737084543865 önle-0.005395596817101017 iddia-0.005386194115970249 objektif-0.005366745241995422 getiri-0.00536089512159453 muðla-0.005342596949097218 
teknoloji-0.03095355118996624 kiþi-0.028943805576816358 insan-0.02313662740352699 süre-0.02198125427134175 saat-0.018079720610870646 düþ-0.01580577791757091 avrupa-0.014120431936798272 bilim-0.013220228028810564 beraber-0.012312487574674387 operasyon-0.012248111055487246 suriye-0.011821315976483152 ceset-0.011756315738794947 uçak-0.011445668228516708 dizi-0.010663288415245593 yarýþ-0.010445543567311675 dünya-0.010084471390036093 tehlike-0.009421108720922639 gözaltý-0.009245864165302644 genç-0.009161676284802306 gazete-0.0091274496931895 merkez-0.008952297744221127 performans-0.008804421806944655 bölüm-0.00864562857917704 borsa-0.008134286851635399 uyuþtur-0.008078494679459652 ödül-0.007987733686839226 abd-0.007632715490762883 patla-0.007417014121980092 saðlýk-0.0072519716970868954 cinsel-0.006970675084003889 hayat-0.00670525485749276 ülke-0.006678662237827362 konu-0.006674650662886009 testi-0.006259866704895998 ýrak-0.006227506632448588 serkan-0.006125269048126654 günü-0.006088194121037472 bölge-0.005635113412986469 canlan-0.0056336602096654625 ünlü-0.0056208640352358175 taraftar-0.005397127066260375 orman-0.005194928942315052 bomba-0.005159215256573683 polonya-0.005094945833491219 yönelik-0.004948800065485649 çift-0.0049472413219226975 konser-0.004923412501232744 ticaret-0.004890523756519055 hakan-0.004780406046649149 ölü-0.0047142072637202225 
baþ-0.02927121489408508 kiþi-0.028749597382732864 dikkat-0.024090098375057087 kaza-0.019028528812192753 yarala-0.01902231005771342 piyasa-0.017709245994422276 fiyat-0.015776712851306045 yemek-0.012847309320945539 yýldýz-0.012005451734402648 yeni-0.011260150697136278 ayýn-0.011052746916134613 para-0.010674805180705897 dolar-0.010673943245901431 petrol-0.010148641173666548 zarar-0.010120604800637764 sezon-0.01010055520397945 otobüs-0.01007978794926846 varil-0.01007736931023742 ülke-0.009967899044941017 iþçi-0.009784162910721114 aracý-0.00955993520005677 hava-0.009420514224968939 düþ-0.009217685642120652 oyun-0.008926640413949494 çarp-0.00873013547266737 çocuk-0.00871345475792932 güncel-0.008676196783375351 borsa-0.008612498945984303 ant-0.008092663721108295 yolcu-0.008066834421777611 sanat-0.007480211925346935 minibüs-0.007432164559949529 kontrol-0.0073541330576222174 ayýr-0.007273638273333809 iþlem-0.0072612843787862365 ilçe-0.006761432492666765 çarpýþ-0.0064755844417947695 üst-0.006027511920279061 hal-0.005793265619547109 ayak-0.0057867912843139685 ölü-0.0055691100455092105 art-0.005415903156062362 kadro-0.005231787635819112 küresel-0.005193654170376673 boþan-0.005125606281303657 barýþ-0.004998619303716624 transfer-0.0049374998959872485 galatasaray-0.00485526530228704 objektif-0.004823424623110305 baþkent-0.004646679397672484 
saðlýk-0.04404140586878433 uzman-0.03766358163677494 tüket-0.036236641339845756 özel-0.02590626657702142 hastalýk-0.024509192633224763 otomobil-0.022939413833488864 aðrý-0.018527529122094943 diyetisyen-0.0180693283679459 vücut-0.01801160271269248 yatýrým-0.015616040000951336 meyve-0.01428358964170336 yaþ-0.013241285990700723 fayda-0.012955808188720372 bol-0.012813353813949385 yaþam-0.012493793712592691 eksik-0.010937447199117064 önem-0.010578751984642209 destek-0.010446424665803174 prof-0.010316148314280918 film-0.010231547620194953 açý-0.008505509763524684 hayran-0.008014426781951934 vitamin-0.007763380646496156 plan-0.00775683662794718 öðrenci-0.0074445399359663565 kol-0.00723474792495958 silah-0.006566251340019801 içeri-0.00652578384634997 festival-0.006469431310066897 öde-0.006357286412875841 dikkat-0.006189758326323735 kredi-0.00617541816687164 kardeþ-0.006162368898733662 yabancý-0.006150236435723083 dünya-0.005852416464890019 baþ-0.005811072630241037 soðuk-0.005740644698464877 motosiklet-0.005556676331665336 okul-0.005395907479225262 abd-0.005119845846827478 sinema-0.0049538508778250384 aksoy-0.004855742821069609 atla-0.00477320253894599 hisse-0.004730003189043 kalp-0.00471055878313631 borç-0.004691038355440182 belirti-0.004613628579508869 þekli-0.004542210975838645 grup-0.004539884716404454 kontrol-0.004041869961398321 
kiþi-0.07661875360880824 hasta-0.030163315754496975 saat-0.024094684210481238 yarala-0.02057309197010224 tedavi-0.01691900461682314 saldýrý-0.015642709625548253 ingiltere-0.015432436041900598 meydan-0.013363907407425612 risk-0.01226944060020316 türkiye-0.011872265797729537 zeka-0.011324054466841491 yapay-0.011295171783083853 kent-0.011096412344059368 tespit-0.011044557914359652 terör-0.010901061223507542 araþtýrma-0.010372496258490812 cem-0.010280136164690213 fotoðraf-0.010254546249071829 azal-0.009980156439139489 cinsel-0.00907420547886829 çocuk-0.0084674389367898 proje-0.008103370563229675 üst-0.008064062477778055 oðul-0.007866819889959834 diyabet-0.007815322939701181 saye-0.007428999561947398 film-0.007386527025356435 ankara-0.007077004022674832 aile-0.006956247697906507 yatak-0.006620461794238627 kültür-0.006537128747981223 yýlmaz-0.006529803380792706 hastalýk-0.0061768226561028745 yýlla-0.005940592447209175 kitap-0.005823707095358215 uyu-0.005623118260663178 kan-0.00554280067907309 banka-0.005395653529777021 örgüt-0.005327241241766022 uzman-0.005274032907267605 bakteri-0.005040356823440955 kredi-0.004981485261651099 hava-0.004976653863043239 bülent-0.004729652786177056 anlam-0.0046412985010881634 baþ-0.004615999716578865 büyü-0.004483609350536673 prof-0.004396227163674266 arkadaþ-0.004338260472491627 seyirci-0.004326166815441136 
baþkan-0.06886464444886715 lig-0.032635535199614304 parti-0.02972797772207356 chp-0.027093008832885748 beþiktaþ-0.026500148083234868 genel-0.02536336709369893 belediye-0.02526453645954597 hak-0.023566439190647225 galatasaray-0.020644067801286296 maç-0.01943377158499729 oyna-0.018477991128922486 yen-0.017578776693336896 istifa-0.017099939139904832 þampiyon-0.01686004904691071 basketbol-0.016708976333855253 saha-0.015897430991097174 bilgi-0.01318265168283387 teknik-0.012986327364694262 transfer-0.012503503968163363 günü-0.011443947943232802 haber-0.011117597261254395 devre-0.010116302560229181 kemal-0.00992542703877114 fark-0.009853440880854918 direktör-0.00945035241602473 ankara-0.00906317902259456 mustafa-0.008537081691360854 güneþ-0.008386010470286588 art-0.008016602721636635 tbmm-0.007677471512244571 fayda-0.006950560730711202 isim-0.006634080068384311 önem-0.006629592359534615 baraj-0.0065142793198033596 bal-0.006119119970022826 yenile-0.006008058873963382 açý-0.005846053849348839 takým-0.005277012788143306 ordu-0.005027027026984645 rakip-0.004844980152646092 ilgi-0.004362769431663542 açýklama-0.00418537265527195 dahil-0.004180884817183865 milletvekil-0.004009019375300587 basýn-0.0039039837833225975 bel-0.0038395704569826102 depresyon-0.003764369584053537 istanbul-0.00375302272305895 doðum-0.003691369507349281 yönetim-0.00352364401416795 
lig-0.07430724724927129 hafta-0.060868823638084 süper-0.04021024150185551 galatasaray-0.02527566540967661 maç-0.021290910116116203 gol-0.020615968438206587 operasyon-0.02002940461118762 sezon-0.019714735035057385 yönelik-0.018083810918607415 iliþkin-0.015570150731199486 yen-0.014231443768912352 maðlup-0.010910221210086567 örgüt-0.01087264850660277 terör-0.010552133911268668 mücadele-0.010513249546802408 yýldýz-0.010491825708115557 beþiktaþ-0.010309879480773748 hak-0.00995316617022191 þüphe-0.009651585446838735 futbol-0.009623117407837318 takým-0.009476310552943993 hollanda-0.009439267336132654 baþ-0.00929625875053166 hazýrlýk-0.009273383217516858 þampiyon-0.009010391372168605 kazan-0.008967115705385215 oyna-0.008497166794217739 spor-0.008471981189066035 umut-0.007191798172455137 ekip-0.007036147568368744 iddia-0.0069810900664451685 lider-0.006856452351837457 saha-0.006701281178693119 kart-0.0066127504062309245 gözaltý-0.006391764321944621 toto-0.006147955765571883 tutukla-0.0058703427905177396 genç-0.005757317708326823 ispanya-0.005426585530099799 geri-0.005297933363422329 yakala-0.0052749281415928875 istanbul-0.005235606211567715 anlaþma-0.00519542823780145 program-0.0050200670584281985 beyaz-0.005018702577230383 beraber-0.004998426108220531 sermaye-0.004436583562616888 hýrsýz-0.004430406174850116 antrenman-0.004284022720925847 açýklama-0.0041920752573814364 
hafta-0.05630075856051163 kanser-0.03713350387281689 hastalýk-0.03670837818869374 artýr-0.030987698500942233 kilo-0.02173190445103456 seks-0.01719245479288136 faiz-0.013480479929333815 diyet-0.013151429437669292 dönem-0.012486724315120545 ilaç-0.011958775803420467 günü-0.010053751466843206 virüs-0.00976016267864152 kalori-0.009756313629276193 bursa-0.009665281449344542 hayat-0.009367653015011147 prof-0.009282756482629708 maç-0.009059991583112091 baðýrsak-0.009034184477514955 kriz-0.008485948947097076 kanada-0.008367727660580521 bölge-0.00806484511356212 dakika-0.007736382305131065 yarý-0.0076434909679987785 risk-0.00689464784932931 art-0.006445577019982286 gözaltý-0.00615090636928935 hisset-0.0060741580802853 kaybet-0.005908592976157856 bilgi-0.005633976273742945 kaza-0.005576575697322513 yayýl-0.005552394215442418 yardým-0.005545342560295315 mücadele-0.005260332693655946 kiþi-0.0051954365574974695 operasyon-0.005156428641219908 reyting-0.0051215584166341204 sýr-0.005028281370971817 baþ-0.005003227580294312 popüler-0.00497603550030288 tarif-0.0049160947057422955 trafik-0.0049078849912647955 galatasaray-0.004845785458013528 beta-0.00471589607766774 dikkat-0.004681955917125287 besle-0.004668059332980163 puan-0.004657263267382088 iþlem-0.004583357069814705 facia-0.004498431990856792 kalp-0.004482181606675217 fayda-0.004364457865931187 
baþkan-0.07002663193413643 baþbakan-0.055556079673488364 genel-0.03605917515802766 yardým-0.032718226177832585 parti-0.025626830398093235 yýldýrým-0.025199222903815932 recep-0.02193765173654014 tayyip-0.02151960502426611 kurul-0.020533020090908297 cumhurbaþkaný-0.019846141125180152 teknik-0.019645017093549374 direktör-0.019024270445941405 görüþ-0.016915645353172547 ziyaret-0.016592336437058933 kadýn-0.016572412958625396 meclis-0.015250912457034003 iliþki-0.01487690726736648 tbmm-0.014549625139215752 aday-0.012572201534642984 süre-0.012323097055326889 açýklama-0.011013801344022085 seçim-0.010821870290942955 kabul-0.009808654537993376 abd-0.009682919840761871 milletvekil-0.008896999089450908 binali-0.008571996042255073 futbol-0.00829079862306137 gündem-0.007567648538354825 tur-0.007206022054485631 toplantý-0.007157151127521486 dakika-0.006819701854656071 boyun-0.006312106241906785 kadro-0.0058905985461622234 deðiþik-0.0058107706134233284 üye-0.005699554510396757 oyun-0.004795066012866846 erkek-0.00476745950576029 tarih-0.004737923054850727 federasyon-0.004630387636958025 þeker-0.004159642138496232 okan-0.004147404237192387 rapor-0.004095586725674724 eksik-0.003984273161420901 cinsel-0.003956031119663007 sakat-0.0039040381064311316 ücret-0.0038543058829503133 akalýn-0.0038534169754284777 gösteri-0.003758967625710746 danýþman-0.0037109306637565127 zafer-0.0036831401651388584 
bakan-0.040393778475608905 abd-0.03807144202010251 paylaþ-0.03286835732306745 bilgisayar-0.026828081481446026 baþkan-0.02574208774214611 hesap-0.021233581663483696 kulüp-0.020366220481961593 telefon-0.01967325401069321 giy-0.018042865183635 forma-0.016803546762500537 fotoðraf-0.015811230599874077 görüþme-0.013410675251064179 birlik-0.012694208275613817 resmi-0.011808104362440907 terörist-0.010262497510981116 baþarý-0.00985687796970885 saha-0.009742899445446125 toplantý-0.00926152380017886 eðitim-0.007737925804781832 japonya-0.00745080397940432 model-0.007298924392190814 ortak-0.0071547684739750725 deniz-0.007124771979854505 hadid-0.007013640089152282 dünya-0.006940827709172276 açýklama-0.006654621396446962 yeni-0.006591223445089114 amerika-0.006299305040018428 savunma-0.00623820504939713 görev-0.005876327414402754 isim-0.005849506617348957 takip-0.005819310712213366 kahraman-0.005631930455228896 test-0.005611542298784159 radyo-0.005519766044044768 olay-0.005426657382489044 kore-0.0053899897201650756 sergile-0.004928712625879128 medya-0.004800357288117515 sözleþ-0.0047976939057612885 güç-0.004792447832696685 hale-0.004616640089775069 aktif-0.004596568055143935 parti-0.004544816712486354 program-0.0045337557982675705 çekim-0.004515048561711883 yunanistan-0.004493894892662338 ülke-0.004298239796255503 sosyal-0.004257695661140786 yýl-0.004199920783930139 
